Incident_Date,State,City_Or_County,Address,Killed,Injured,Operations
01-22-17,Texas,Manvel,200 block of Oak Shore Dr,3,2,N/A
01-22-17,Illinois,Chicago (Englewood),1800 block of W 63rd,0,4,N/A
01-22-17,Georgia,Atlanta,2841 Greenbriar Pkwy SW,3,1,N/A
01-21-17,Georgia,Jonesboro,6510 Tara Blvd,0,6,N/A
01-21-17,Florida,Boynton Beach,500 NE 2nd St,0,5,N/A
01-21-17,Tennessee,Memphis,500 block of Delta Road,2,2,N/A
01-20-17,Mississippi,Como,Smart Road,1,4,N/A
01-20-17,California,Fresno,4700 block of E Montecito Ave,0,4,N/A
01-16-17,Texas,Houston,8535 Martin Luther King Boulevard,0,4,N/A
01-16-17,Florida,Miami,6011 NW 32nd Ave,0,8,N/A
01-15-17,Colorado,Capulin,County Road Y,3,1,N/A
01-15-17,Mississippi,Magnolia,6000 block of Church Road,1,4,N/A
01-12-17,Missouri,Kansas City,8607 E 61st Terrace,3,2,N/A
01-12-17,California,Salinas,500 block of Sunrise St,2,2,N/A
01-11-17,New Jersey,Newark,Hawkins Street and Christie Street,1,3,N/A
01-11-17,Illinois,Chicago,4200 block of S Talman,1,3,N/A
01-07-17,Michigan,Flint,2500 block of Churchill Ave,1,3,N/A
01-06-17,California,Pasadena,100 block of W Claremont St,2,2,N/A
01-06-17,Florida,Fort Lauderdale,100 Terminal Dr,5,6,N/A
01-04-17,California,Fontana,14520 Village Drive,3,1,N/A
01-03-17,Texas,Allen,500 block of Hawthorne Drive,0,4,N/A
01-01-17,Mississippi,Winstonville,114 North Greyer Street,0,5,N/A
01-01-17,Texas,Dallas,9220 Skillman Street,1,3,N/A
01-01-17,Florida,Miami,8000 block of NW 14th Ave,0,7,N/A
12-31-16,Georgia,Lenox (El Dorado),27 Briarwood Ct,2,2,N/A
12-31-16,Texas,Houston,3704 Fannin Street,1,3,N/A
12-30-16,Ohio,Mansfield,3230 Possum Run Rd,0,5,N/A
12-30-16,Connecticut,Wallingford,95 S Turnpike Road,2,2,N/A
12-28-16,Georgia,Columbus,2914 10th Street,1,4,N/A
